,,,,,,,
,AND: MPT001,,,,,,
,TM pars,Description,TM Frame,Byte Offset,Bit Offset,Width,Occurrences
,M101,MPT +15V CV O/P,2,30,0,8,1
,M201,MPT INPUT CUR,2,14,0,8,1
,M203,PA1 CURRENT,4,30,0,8,1
,M204,PA3 CURRENT,13,14,0,8,1
,M205,PA2 CURRENT,12,30,0,8,1
,M206,DR2 CURRENT,30,22,0,8,1
,M207,MDD 1 GAIN,29,6,0,8,1
,M208,MDD 2 GAIN,30,6,0,8,1
,M301,MPT RX TEMP,23,30,0,8,1
,M302,MPT TX TEMP,15,14,0,8,1
,M303,PA1 TEMP,15,30,0,8,1
,M304,PA2 TEMP,7,14,0,8,1
,M305,PA3 TEMP,7,30,0,8,1
,M603,MPT + 15V,14,16,0,1,1
,M604,MPT CV SELECTED,14,16,3,1,1
,M605,MPT - 6V,14,16,2,1,1
,M607,PREAMP+RX,14,16,7,1,1
,M608,UHF RX SELECTION,14,17,0,1,1
,M609,TLM MOD,14,16,4,1,1
,M610,RIM 2,14,17,2,1,1
,M611,RIM 1,14,17,3,1,1
,M612,MPT RX LO,14,17,4,1,1
,M613,RX/TC LIMITER,14,17,5,1,1
,M614,A1 H/LIMITER 2,14,17,6,1,1
,M615,A1 H/LIMITER 1,14,17,7,1,1
,M617,UHF RX1 STATUS,24,18,0,1,1
,M618,UHF RX2 STATUS,25,18,0,1,1
,M620,PA 1,10,16,0,1,1
,M630,PA 2,20,16,0,1,1
,M631,DR 2,19,16,0,1,1
,M641,PA 3,9,16,0,1,1
,M642,PA HEATER,19,16,1,1,1
,M661,TRANSFER SW CH1,21,18,4,1,1
,M662,TRANSFER SW CH2,20,18,7,1,1
,M663,TRANSFER SW CH3,22,18,5,1,1
,M664,MDD 1 STATUS,10,16,5,1,1
,M665,MDD 1+ 15V,20,16,3,1,1
,M666,MDD 2 STATUS,9,16,2,1,1
,M667,MDD 2+ 15V,19,17,4,1,1
,M668,A2 H/LIMITER 1,14,16,6,1,1
,M669,A2 H/LIMITER 2,14,16,5,1,1
,M670,MPT TX LO,14,17,1,1,1
,AND: MST001,,,,,,
,T103,A/D CAL 75 %,16,14,0,8,1
,T104,A/D CAL 25 %,16,30,0,8,1
,T121,MST TX1 RF POWER,17,14,0,8,1
,T122,MST TX2 RF POWER,17,30,0,8,1
,T123,MSTRX1 AGC LEVEL,19,14,0,8,1
,T124,MSTRX2 AGC LEVEL,19,30,0,8,1
,T125,MST RX1 OFFSET,0,6,0,8,1
,T126,MST RX2 OFFSET,2,6,0,8,1
,T321,MST TX1 TEMP,18,14,0,8,1
,T322,MST TX2 TEMP,18,30,0,8,1
,T323,MST RX1 TEMP,1,6,0,8,1
,T324,MST RX2 TEMP,3,6,0,8,1
,T605,AOC CU TO ENC,13,16,1,1,1
,T606,A/D CV STATUS,21,18,2,1,1
,T607,PROGRAMMER,22,18,1,1,1
,T608,QUARTZ CLOCK,23,18,4,1,1
,T609,DIG MUX,20,18,3,1,1
,T610,SQUELCH MST HBR,26,18,1,1,1
,T611,SQUELCH MST LBR,26,18,2,1,1
,T612,SQUELCH MPT HBR,26,18,3,1,1
,T613,SQUELCH MPT LBR,26,18,4,1,1
,T614,MST TX OC PROT,9,17,2,1,1
,T621,MST RANGING 1,25,18,1,1,1
,T622,MST TX 1,10,16,7,1,1
,T623,MST RX1 LOCK,25,18,2,1,1
,T624,TT 1 ON/OFF,4,17,0,1,1
,T625,TT 1 ML,4,17,1,1,1
,T626,TT 2 ON/OFF,31,17,0,1,1
,T627,TT 2 ML,31,17,1,1,1
,T631,MST RANGING 2,28,18,3,1,1
,T632,MST TX 2,20,16,7,1,1
,T633,MST RX2 LOCK,28,18,7,1,1
,T640,CMD EXECUTION,16,16,0,1,1
,T701,TT 1 (TIME),2,16,0,16,1
,T702,TT 1(1ST DATA W),3,16,0,8,1
,T703,TT 1(3RD DATA W),4,16,0,8,1
,T704,TT 2 (TIME),29,16,0,16,1
,T705,TT 2(1ST DATA W),30,16,0,8,1
,T706,TT 2(3RD DATA W),31,16,0,8,1
,T707,CMD VR 1/2 MOD,16,16,2,6,1
,T708,CMD V1/2 2ND D W,17,16,0,8,1
,T710,FORMAT COUNTER,0,16,0,16,1
,T711,SYNC WORD,0,0,0,16,32
,T712,FRAME COUNT,0,2,0,8,32
,T713,S/C ID,27,18,4,4,1
,T722,TT 1(2ND DATA W),3,17,0,8,1
,T723,TT 1 MODE,4,17,0,8,1
,T725,TT 2(2ND DATA W),30,17,0,8,1
,T726,TT 2 MODE,31,17,0,8,1
,T727,CMD V1/2 1ST D W,16,17,0,8,1
,T728,CMD V1/2 3RD D W,17,17,0,8,1
,T750,FRMT CNTR LSB,0,17,7,1,1
,T751,FRMT CNTR 3 LSBs,0,17,5,3,1
,T752,FRAME CNTR LSB,0,2,7,1,32
