Num,Sat,ValX,ValY,,
1,7,0,0,,MTP1
1,7,255,17.1,,MET-7
2,7,0,0,,
2,7,255,17.17,,
3,7,0,-0.69,,
3,7,255,0.676,,
7,7,0,0,,
7,7,255,1030,,
8,7,0,0,,
8,7,6,14.5,,
8,7,48,114.5,,
8,7,93,214.5,,
8,7,135,314.5,,
8,7,255,581.2,,
10,7,0,0,,
10,7,255,1030,,
15,7,16,150,,
15,7,20,140,,
15,7,30,125,,
15,7,45,109,,
15,7,62,97,,
15,7,79,88,,
15,7,194,40,,
15,7,226,24,,
15,7,243,10,,
15,7,252,0,,
19,7,0,99.99,,
19,7,33,99.99,,
19,7,35,95,,
19,7,37,90,,
19,7,43,85,,
19,7,48,80,,
19,7,55,75,,
19,7,154,40,,
19,7,171,35,,
19,7,177,30,,
19,7,181,25,,
19,7,255,25,,
21,7,0,70,,
21,7,25,70,,
21,7,34,60,,
21,7,47,50,,
21,7,64,40,,
21,7,86,30,,
21,7,113,20,,
21,7,144,10,,
21,7,175,0,,
21,7,203,-10,,
21,7,255,-45,,
27,7,0,150,,
27,7,12,115,,
27,7,22,95,,
27,7,35,80,,
27,7,55,65,,
27,7,86,50,,
27,7,173,20,,
27,7,212,5,,
27,7,238,-10,,
27,7,255,-30,,
28,7,0,-0.229,,
28,7,83,-0.1,,
28,7,128,0,,
28,7,173,0.1,,
28,7,255,0.23,,
29,7,0,-0.229,,
29,7,83,-0.1,,
29,7,128,0,,
29,7,173,0.1,,
29,7,255,0.23,,
30,7,0,0,,
30,7,255,255,,
31,7,0,0,,
31,7,255,6.78,,
32,7,0,74,,
32,7,49,100,,
32,7,113,300,,
32,7,255,723,,
41,7,0,-120,,
41,7,101,-120,,
41,7,116,-100,,
41,7,144,-60,,
41,7,171,-20,,
41,7,184,0,,
41,7,196,20,,
41,7,220,60,,
41,7,243,100,,
41,7,255,121,,
47,7,0,160,,
47,7,21,75,,
47,7,34,60,,
47,7,46,50,,
47,7,98,25,,
47,7,174,0,,
47,7,225,-20,,
47,7,245,-33,,
47,7,255,-45,,
48,7,0,143,,
48,7,15,143,,
48,7,33,113,,
48,7,57,93,,
48,7,94,73,,
48,7,169,43,,
48,7,193,33,,
48,7,226,13,,
48,7,244,-7,,
48,7,251,-27,,
48,7,255,-40,,
60,7,0,0,,
