,,,,,,,,
,AND: RAD001,,,,,,,
,TM pars,Description,TM Frame,Byte Offset,Bit Offset,Width,Occurrences,Calibration
,R601,RAD Status,19,17,0,1,1,
,R201,RAD Current,6,14,0,8,1,
,R106,RAD Main +12 V,31,30,0,8,1,
,R107,RAD Main -12 V,22,30,0,8,1,
,R114,RAD Main +5 V,16,6,0,8,1,
,R101,IR/WV +12 V,30,14,0,8,1,
,R102,IR/WV -12 V,29,30,0,8,1,
,R103,VIS + 12 V,31,14,0,8,1,
,R104,VIS -12 V,30,30,0,8,1,
,R105,DETEC LOGIC + 5V,23,14,0,8,1,
,R112,2ND STAGE HTR NOM,14,6,0,8,1,
,R113,2ND STAGE HTR RED,15,6,0,8,1,
,R301,IR TEMP 1,13,26,0,8,1,
,R302,IR TEMP 2,13,10,0,8,2,
,R303,COLD BB TEMP 1,10,26,0,8,2,
,R304,COLD BB TEMP 2,10,10,0,8,2,
,R305,COLD BB TEMP 3,6,26,0,8,2,
,R306,SUNSHIELD TEMP,11,26,0,8,2,
,R307,2ND MIRROR TEMP,5,10,0,8,2,
,R308,1ST MIRROR TEMP,3,26,0,8,2,
,R309,STRUC TEMP (CON),14,10,0,8,2,
,R310,SCAN MECHANISM TEMP,6,10,0,8,2,
,R311,TEL STRUC TEMP,5,26,0,8,2,
,R312,STRUC TEMP (EXT),15,10,0,8,2,
,R313,COOLER TEMP 1,2,10,0,8,2,
,R314,COOLER TEMP 2,2,26,0,8,2,
,R318,H/C HOT BB TEMP 1,0,10,0,8,2,
,R319,H/C HOT BB TEMP 2,4,10,0,8,2,
,R320,H/C HOT BB TEMP 3,8,10,0,8,2,
,R800,RAD CV STATUS,26,38,0,5,1,
,R646,RAD OC PROT,10,17,2,1,1,
,R602,FAILSAFE 1 COOL,24,18,3,1,1,
,R603,FAILSAFE 1 ANTE,28,18,5,1,1,
,R628,CAL MIRROR STAT,23,18,7,1,1,
,R613,RAD FOCUS ELEC,31,18,1,1,1,
,R614,CAL ELEC STATUS,27,18,1,1,1,
,R612,RAD POS ELEC STAT,25,18,6,1,1,
,R640,RAD SCAN 1,31,18,4,1,1,
,R641,RAD SCAN 2,22,18,6,1,1,
,R619,RAD POS MEM,20,17,1,1,1,
,R608,IR 1 STATUS,21,18,1,1,1,
,R609,IR 2 STATUS,20,18,2,1,1,
,R610,VIS 1 STATUS,22,18,3,1,1,
,R611,VIS 2 STATUS,23,18,2,1,1,
,R634,WV1 STATUS,21,18,7,1,1,
,R635,WV2  STATUS,23,18,3,1,1,
,R636,VIS 3 STATUS,20,18,0,1,1,
,R637,VIS 4 STATUS,21,18,0,1,1,
,R639,RAD LOGIC 1,23,18,1,1,1,
,R644,RAD LOGIC 2,20,18,4,1,1,
,R648,CAL GAIN CHANGE,29,18,5,1,1,
,R649,GRD RAD HTR REG,19,17,3,1,1,
,R638,IR THERM REG,22,18,0,1,1,
,R642,IR TEMP SELECT,23,18,0,1,1,
,R616,RAD HTR CONFIG,22,18,4,1,1,
,R617,RAD DECONTAMINATION,23,18,6,1,1,
,R618,RAD SSH HTR,20,16,1,1,1,
,R643,BB HEATER,24,18,6,1,1,
,R645,SSH + PA HTR OC PROT,20,17,2,1,1,
,R647,SSH + PA HTR,10,16,1,1,1,
,AND: RAD002,,,,,,,
,R701,VIS 1/4 GAIN LOGIC 1,21,17,0,4,1,
,R702,VIS 2/3 GAIN LOGIC 1,21,17,4,4,1,
,R703,IR 1/2 GAIN LOGIC 1,21,16,0,4,1,
,R704,WV 1/2 GAIN LOGIC 1,21,16,4,4,1,
,R705,VIS 1/4 GAIN LOGIC 2,22,17,0,4,1,
,R706,VIS 2/3 GAIN LOGIC 2,22,17,4,4,1,
,R707,IR 1/2 GAIN LOGIC 2,22,16,0,4,1,
,R708,WV 1/2 GAIN LOGIC 2,22,16,4,4,1,
,R108,IR 1 OFFSET,14,26,0,8,2,
,R109,IR 2 OFFSET,7,10,0,8,2,
,R110,WV 1 OFFSET,3,10,0,8,2,
,R111,WV 2 OFFSET,7,26,0,8,2,
,R613,RAD FOCUS ELEC,31,18,1,1,1,
,R625,FOCUS SW1 SET,24,18,4,1,1,
,R626,FOCUS SW2 SET,29,18,6,1,1,
,R631,FOCUS EXECUTE,30,18,2,1,1,
,R632,FOCUS FORWARDS,31,18,3,1,1,
,R633,FOCUS BACKWARDS,30,18,5,1,1,
,R614,CAL ELEC STATUS,27,18,1,1,1,
,R615,CAL MEM STATUS,29,18,1,1,1,
,R628,CAL MIRROR STAT,23,18,7,1,1,
,R648,CAL GAIN CHANGE,29,18,5,1,1,
,R643,BB HEATER,24,18,6,1,1,
,R315,HOT BB TEMP 1,0,10,0,8,2,
,R316,HOT BB TEMP 2,4,10,0,8,2,
,R317,HOT BB TEMP 3,8,10,0,8,2,
