,,,,,,,
,AND: PSS001,,,,,,
,TM pars,Description,TM Frame,Byte Offset,Bit Offset,Width,Occurrences
,P101,MAIN BUS VOLT,1,10,0,8,2
,P102,BAT 1 VOLT,1,26,0,8,2
,P103,BAT1 1-4 VOLT,11,22,0,8,1
,P104,BAT1 5-8 VOLT,21,22,0,8,1
,P105,BAT1 9-12 VOLT,13,22,0,8,1
,P106,BAT1 13-16 VOLT,22,22,0,8,1
,P107,REG LOOP VOLT,11,10,0,8,2
,P112,BAT 2 VOLT,5,6,0,8,1
,P113,BAT2 1-4 VOLT,9,6,0,8,1
,P114,BAT2 5-8 VOLT,10,6,0,8,1
,P115,BAT2 9-12 VOLT,11,6,0,8,1
,P116,BAT2 13-16 VOLT,12,6,0,8,1
,P201,MAIN BUS CUR,9,26,0,8,2
,P202,SHUNT REG CUR,9,10,0,8,2
,P203,BCR1 CUR,2,22,0,8,1
,P204,BDR1 CUR,17,22,0,8,1
,P213,BCR2 CUR,7,6,0,8,1
,P214,BDR2 CUR,6,6,0,8,1
,P217,SAG CURRENT,4,6,0,8,1
,P301,MRU INT TEMP,19,22,0,8,1
,P302,BAT1 INT TEMP,14,22,0,8,1
,P303,SHUNT RES TEMP 1,6,22,0,8,1
,P304,SHUNT RES TEMP 2,23,22,0,8,1
,P312,BAT2 INT TEMP,8,6,0,8,1
,P601,BCR1 STATUS,29,18,4,1,1
,P602,BDR1 STATUS,24,18,2,1,1
,P603,BDR2 STATUS,28,18,1,1,1
,P604,28V AUX BUS,9,16,1,1,1
,P606,AUX BUS OC PROT,19,17,1,1,1
,P607,MAIN BUS UV PROT,19,17,2,1,1
,P610,ABMF ARM A,10,17,0,1,1
,P611,ABMF ARM B,9,17,1,1,1
,P612,ABMS ARM A,20,17,0,1,1
,P613,ABMS ARM B,19,16,7,1,1
,P614,RAD PYRO ARM A,9,17,0,1,1
,P615,RAD PYRO ARM B,10,17,1,1,1
,P616,BCR2 STATUS,30,18,6,1,1
,P620,BAT UV PROT,9,17,4,1,1
,P621,BCR1 & BDR1 TO BAT,30,18,1,1,1
,P622,BCR2 & BDR2 TO BAT,30,18,3,1,1
,P623,RECON RELAY SW1,30,18,4,1,1
,P624,RECON RELAY SW2,30,18,6,1,1
,P625,RECON UNIT TO,28,18,6,1,1
,P630,SECOND AUX BUS,10,16,2,1,1
