,,,,,,,
,AND: E001,,,,,,
,TM pars,Description,TM Frame,Byte Offset,Bit Offset,Width,Occurrences
,E101,EDA CV 1/2 +5.4 V,21,14,0,8,1
,E201,EDA I/P CUR,21,30,0,8,1
,E601,EDA CV1 -15V,25,18,4,1,1
,E602,EDA CV2 -15 V,20,18,5,1,1
,E603,EDA CV1 -50 V,29,18,0,1,1
,E604,EDA CV2 -50 V,31,18,2,1,1
,E610,EDA1 R/PLS 3-104,0,18,0,1,1
,E611,EDA1 EARTH PLS,0,18,1,1,1
,E620,EDA2 R/PLS 3-042,10,18,0,1,1
,E621,EDA2 EARTH PLS,10,18,1,1,1
,,,,,,,
,SIC,,,,,,
,TM pars,Description,TM Frame,Byte Offset,Bit Offset,Width,Occurrences
,S150,SIC CV +12.5 V,5,30,0,8,1
,S160,SIC CV +5.4 V,31,6,0,8,1
,S170,SIC MEM +5.4 V,24,22,0,8,1
,S250,SIC CURRENT,14,14,0,8,1
,S651,SIC CV1 -12.5 V,21,18,3,1,1
,S652,SIC CV2 -12.5 V,22,18,2,1,1
,S660,SIC1 MEM ML 3-110,1,16,0,1,1
,S661,B0 SIC1 CL 4-000,1,16,1,1,1
,S662,DCO SIC1 ML 3-014,1,16,2,1,1
,S663,LID SIC1 ML 3-012,1,16,3,1,1
,S664,UT SIC1 ML 3-006,1,16,4,1,1
,S665,LT SIC1 ML 3-011,1,16,5,1,1
,S666,SYNC MODE SIC1,1,16,6,1,1
,S667,COOLER POS SIC1,1,16,7,1,1
,S668,SUN/EARTH SIC1,1,17,0,1,1
,S669,BURST/MEM SIC1,1,17,1,1,1
,S680,SIC2 MEM ML 3-110,24,16,0,1,1
,S681,B0 SIC2 CL 4-000,24,16,1,1,1
,S682,DCO SIC2 ML 3-300,24,16,2,1,1
,S683,LID SIC2 ML 3-240,24,16,3,1,1
,S684,UT SIC2 ML 3-140,24,16,4,1,1
,S685,LT SIC2 ML 3-220,24,16,5,1,1
,S686,SYNC MODE SIC2,24,16,6,1,1
,S687,COOLER POS SIC2,24,16,7,1,1
,S688,SUN/EARTH SIC2,24,17,0,1,1
,S689,BURST/MEM SIC2,24,17,1,1,1
